channel,ch_type,perturbation,perturbation_label,dy_mean,dy_p95,rel_err_mean,rel_err_p95,dTb_mean,dTb_p95
fy4a_ch01,reflective,0.01,pert_frac,2.762223696425485,7.322592625335891,0.7972225212148625,2.113418895853397,nan,nan
fy4a_ch01,reflective,0.02,pert_frac,5.5258333133837585,14.644640594090138,1.5948450415546267,4.2266805949910555,nan,nan
fy4a_ch01,reflective,0.03,pert_frac,8.288223741049748,21.96348890982793,2.3921156841074143,6.339018822417103,nan,nan
fy4a_ch01,reflective,0.04,pert_frac,11.050583366742682,29.2862856800871,3.1893774367116254,8.45249663780357,nan,nan
fy4a_ch01,reflective,0.05,pert_frac,13.814666073375209,36.61161945984368,3.987136498397899,10.566706675243772,nan,nan
fy4a_ch01,reflective,0.06,pert_frac,16.57652659554946,43.91549575258456,4.7842542016385385,12.674723734208074,nan,nan
fy4b_ch01,reflective,0.01,pert_frac,2.7175758470843183,7.201183880180638,0.7982244610008609,2.115179647144888,nan,nan
fy4b_ch01,reflective,0.02,pert_frac,5.435991263739795,14.40206733888634,1.596695525962796,4.2302710524951035,nan,nan
fy4b_ch01,reflective,0.03,pert_frac,8.154813240523433,21.61511939356533,2.3952860084708925,6.348936698826427,nan,nan
fy4b_ch01,reflective,0.04,pert_frac,10.871937905720682,28.812523913022257,3.193377945325645,8.46300624699106,nan,nan
fy4b_ch01,reflective,0.05,pert_frac,13.588761663896271,36.00659654719511,3.991381497767711,10.576097131639143,nan,nan
fy4b_ch01,reflective,0.06,pert_frac,16.311317460786057,43.21890611891554,4.7910687027628365,12.694544690935276,nan,nan
fy4a_ch02,reflective,0.01,pert_frac,1.8682354354199338,5.020649978934833,0.7962992764256756,2.139955098600167,nan,nan
fy4a_ch02,reflective,0.02,pert_frac,3.7363249842541464,10.03901760974165,1.5925363715114365,4.278937390385715,nan,nan
fy4a_ch02,reflective,0.03,pert_frac,5.606522278831298,15.059128006440137,2.389671852516965,6.418662502477634,nan,nan
fy4a_ch02,reflective,0.04,pert_frac,7.474256089584633,20.079075713859527,3.1857573211154913,8.55831827140607,nan,nan
fy4a_ch02,reflective,0.05,pert_frac,9.341859054319,25.105570198873547,3.9817870191252305,10.700764477857897,nan,nan
fy4a_ch02,reflective,0.06,pert_frac,11.210876815954277,30.129936647942067,4.778419746992515,12.842303650082943,nan,nan
fy4b_ch02,reflective,0.01,pert_frac,1.8717299846461835,5.028022590833492,0.7992137944622946,2.146925596333699,nan,nan
fy4b_ch02,reflective,0.02,pert_frac,3.74353042548801,10.05836156084773,1.5984576731589206,4.2948402681268085,nan,nan
fy4b_ch02,reflective,0.03,pert_frac,5.615354233883258,15.084345394300238,2.3977115296147264,6.440895331298241,nan,nan
fy4b_ch02,reflective,0.04,pert_frac,7.486133688772554,20.106690149441985,3.1965194554421315,8.585396537017504,nan,nan
fy4b_ch02,reflective,0.05,pert_frac,9.359664893548462,25.138995597308334,3.996502356552472,10.734150879189784,nan,nan
